model,season,pr_demise,pr_duration,pr_integrated_amount,pr_onset,pr_peak_amount,pr_peak_timing,pr_seas_ratio,dmi_amount,dmi_timing,hus1000_amount,hus1000_timing,hus850_amount,hus850_timing,mse1000_amount,mse1000_timing,mse850_amount,mse850_timing,tos_amount,tos_timing,ua250_amount,ua250_timing,ua250e_amount,ua250e_timing,wap250_amount,wap250_timing,wap500_amount,wap500_timing,dmi_amount_corr,dmi_timing_corr,hus1000_amount_corr,hus1000_timing_corr,hus850_amount_corr,hus850_timing_corr,mse1000_amount_corr,mse1000_timing_corr,mse850_amount_corr,mse850_timing_corr,tos_amount_corr,tos_timing_corr,ua250_amount_corr,ua250_timing_corr,ua250e_amount_corr,ua250e_timing_corr,wap250_amount_corr,wap250_timing_corr,wap500_amount_corr,wap500_timing_corr
CMCC-CM2-HR4,long,209.50537634408602,85.95698924731182,493.2131651996432,123.54838709677419,9.310559811814117e-05,188.49462365591398,0.6041141592480533,0.3580663204193115,131.0,,,,,,,,,30.094833374023438,129.0,,,,,,,,,0.2560841672235263,0.3368999081260883,,,,,,,,,0.2751009702302273,0.45657539159259786,,,,,,,,
CMCC-CM2-HR4,short,341.05454545454546,86.27272727272727,397.4789794518305,254.78181818181818,0.00011592945824800567,306.1090909090909,0.6041141592480533,1.5718557834625244,297.0,,,,,,,,,29.08060646057129,328.0,,,,,,,,,0.7435511036813203,0.34201028803053135,,,,,,,,,0.6167418940878021,-0.030893288916228792,,,,,,,,
CMCC-CM2-SR5,long,157.784,64.176,245.0098706822464,93.608,7.77398823411204e-05,120.76,0.3620276268597197,0.023049890995025635,127.0,0.015774432569742203,134.0,0.013598855584859848,135.0,,,,,30.197717666625977,121.0,-1.3379347324371338,117.0,-2.5182323455810547,149.0,0.012300606817007065,129.0,-0.013826345093548298,128.0,0.2799914322434032,0.44434804147286117,0.7001116253229075,0.6878665699401941,0.6504792476150218,0.6833742628937078,,,,,0.4042963518401816,0.5816842346392455,0.335647013280872,-0.12238841591968797,0.2604440225312004,0.1474358159136752,-0.46727498225815656,0.24786627929969102,-0.6602858410466262,0.6926363474094954
CMCC-CM2-SR5,short,341.112,74.8,281.0837132807992,266.312,7.554319215705618e-05,304.36,0.3620276268597197,-0.5736091732978821,311.0,0.013731884770095348,304.0,0.011873348616063595,301.0,,,,,28.524776458740234,331.0,-0.6269151568412781,327.0,-2.7813408374786377,308.0,0.015539020299911499,313.0,-0.004879737738519907,309.0,0.5716199151531882,0.22224780225424315,0.7800721017178834,0.2981667605541768,0.7547254621754093,0.2081635347679742,,,,,0.5291138483224109,0.2407798651348427,-0.34575991317517707,0.08768417328164467,-0.24881298403056304,0.009133210603596738,-0.7082325949887122,-0.14525616543828287,-0.8717621769517218,0.445251995620319
CMCC-ESM2,long,160.34188034188034,66.28205128205128,259.70466650799676,94.05982905982906,7.604615584413349e-05,122.74358974358974,0.358561759354668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCC-ESM2,short,345.0,79.13675213675214,309.4748899640343,265.86324786324786,7.967361540441067e-05,308.5897435897436,0.358561759354668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,long,150.28048780487805,49.24390243902439,100.24190116444912,101.03658536585365,5.0407187789061e-05,126.3780487804878,0.6084170490652692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,short,344.25,75.9,236.21791015162498,268.35,7.476953242644414e-05,304.8875,0.6084170490652692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,long,153.95454545454547,55.5,118.40852913993352,98.45454545454545,5.915150607258759e-05,121.54545454545455,0.45298317193800824,-0.6991928219795227,120.0,0.01492102537304163,132.0,0.011939349584281445,142.0,339372.28125,132.0,336489.59375,138.0,29.675500869750977,118.0,0.07922694087028503,153.0,-0.9770056009292603,149.0,0.010561282746493816,128.0,0.008341453038156033,122.0,0.15672222568828975,0.5051314873276005,0.5336389933808482,0.6544223566558612,0.38293928892142864,0.44218925485959176,0.28597552642444024,0.4867043875583606,0.14965036977677543,0.5208717521163817,-0.08735238288498115,0.40063045602513403,-0.28760294731626745,0.10254374919162385,-0.19141006647825293,-0.1805971561463383,-0.34979344513718313,-0.07844728190940424,-0.697921752444303,0.5846295760938568
CanESM5,short,343.0,75.0909090909091,178.7847736135239,267.90909090909093,7.567199943216771e-05,308.04545454545456,0.45298317193800824,-0.10579533874988556,282.0,0.01459659542888403,306.0,0.011653667315840721,305.0,337298.40625,303.0,334815.96875,290.0,28.755434036254883,331.0,0.3499993681907654,281.0,-1.8610414266586304,273.0,0.009462936781346798,313.0,0.004361626226454973,312.0,0.5276732783263096,0.2405165184002348,0.7450013171024894,0.42255539041712037,0.6369715716874019,0.5135902263683084,0.649724864088738,0.0601491269545749,0.5555174173276695,0.18157768203540345,0.40664384211039983,0.19187747723834248,-0.49811572985663227,-0.25726984825938365,-0.41858548322367667,-0.2965846849504832,-0.6661564584640736,-0.1458136187724899,-0.8623206249787845,0.43397483572745615
EC-Earth3,long,160.28458498023716,39.47430830039526,104.62997877060228,120.81027667984189,5.136512469977353e-05,137.8695652173913,0.7378992543548841,0.4513337016105652,153.0,0.013316234573721886,142.0,0.01159066054970026,142.0,335053.53125,141.0,335417.09375,141.0,29.517004013061523,135.0,1.983902931213379,120.0,-1.0305203199386597,129.0,0.010157158598303795,139.0,-0.0017040785169228911,137.0,0.23722720917758255,0.4204221364843312,0.7507477528609524,0.6840845358303906,0.5928035706339715,0.677328903569878,0.31707607010448835,0.5251051358077654,0.2101107922362418,0.6267389721968314,0.26574843645861823,-0.05027307323676607,0.48084859116411,0.4130562153377424,0.22889441345299344,0.15308085540220817,-0.43859882188804095,-0.2474346171230161,-0.7358467536617384,-0.18480849932098636
EC-Earth3,short,347.4186991869919,89.00813008130082,349.23322111290594,258.4105691056911,8.553950816511916e-05,301.7073170731707,0.7378992543548841,1.629982829093933,296.0,0.013193312101066113,304.0,0.011141852475702763,304.0,332923.78125,301.0,333175.28125,277.0,28.681547164916992,324.0,-1.8230777978897095,294.0,-2.9992551803588867,293.0,-0.007639179937541485,320.0,-0.020050445571541786,320.0,0.7639952608919784,0.4674737222522299,0.6884977723244889,0.557264425907939,0.6950213267260694,0.5438926400107154,0.5006751347062657,0.3245289729299644,0.5639023972553522,0.23789160470839707,0.6220419736035812,0.04896871733471289,-0.22484551216955057,0.07331488978622933,-0.17813156613547892,0.2886404360703723,-0.5671103991035722,0.028485766117657442,-0.6740685182260309,0.6160805443378317
